FAM	D	T	L
fix_1578_c60_lg_combined.ale.uml_rec	0.296952	0.572416	0.612997
fix_4345_c60_lg_combined.ale.uml_rec	0.260937	0.217421	0.195233
fix_3735_c60_lg_combined.ale.uml_rec	0.215966	1e-06	0.653729
fix_1740_c60_lg_combined.ale.uml_rec	1e-06	0.403671	0.636102
fix_4043_c60_lg_combined.ale.uml_rec	0.223301	0.145639	0.00932873
fix_3897_c60_lg_combined.ale.uml_rec	0.465965	0.177145	0.338667
fix_381_c60_lg_combined.ale.uml_rec	0.0486151	0.144321	0.304949
fix_98_c60_lg_combined.ale.uml_rec	0.0969707	0.107345	0.323825
fix_1610_c60_lg_combined.ale.uml_rec	0.450998	0.436213	0.700473
fix_3665_c60_lg_combined.ale.uml_rec	0.29427	1e-06	1e-06
fix_4113_c60_lg_combined.ale.uml_rec	0.442083	8.93655e-06	0.0970607
fix_1516_c60_lg_combined.ale.uml_rec	0.825451	0.0883352	1e-06
fix_3563_c60_lg_combined.ale.uml_rec	1e-06	0.37465	0.607409
fix_4215_c60_lg_combined.ale.uml_rec	0.308426	0.230888	0.407907
fix_1428_c60_lg_combined.ale.uml_rec	2.81463e-06	0.13935	0.377988
fix_2780_c60_lg_combined.ale.uml_rec	1e-06	0.153662	0.515659
fix_3179_c60_lg_combined.ale.uml_rec	1.06486	1e-06	0.287296
fix_4731_c60_lg_combined.ale.uml_rec	0.329402	0.225547	0.851175
fix_4893_c60_lg_combined.ale.uml_rec	0.165272	1e-06	1e-06
fix_3047_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_2822_c60_lg_combined.ale.uml_rec	0.528625	0.0713056	0.868809
fix_1032_c60_lg_combined.ale.uml_rec	1e-06	0.210376	0.312559
fix_2486_c60_lg_combined.ale.uml_rec	0.115413	0.0866052	0.180127
fix_969_c60_lg_combined.ale.uml_rec	1e-06	0.176053	1e-06
fix_4437_c60_lg_combined.ale.uml_rec	1e-06	0.306052	0.543339
fix_4509_c60_lg_combined.ale.uml_rec	1e-06	0.304079	0.547927
fix_3341_c60_lg_combined.ale.uml_rec	1e-06	0.000348375	0.332853
fix_857_c60_lg_combined.ale.uml_rec	8.14799e-06	0.194125	0.318075
fix_1334_c60_lg_combined.ale.uml_rec	1e-06	0.372654	0.334878
fix_16_c60_lg_combined.ale.uml_rec	0.958471	0.0827168	0.22792
fix_3685_c60_lg_combined.ale.uml_rec	0.255117	0.382947	0.399186
fix_3819_c60_lg_combined.ale.uml_rec	0.433672	0.373629	1e-06
fix_2142_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.293684
fix_1952_c60_lg_combined.ale.uml_rec	0.361624	0.197218	0.483677
fix_3927_c60_lg_combined.ale.uml_rec	0.428546	0.375573	1e-06
fix_231_c60_lg_combined.ale.uml_rec	0.274937	0.206338	0.245493
fix_3583_c60_lg_combined.ale.uml_rec	0.608776	0.195371	1e-06
fix_2244_c60_lg_combined.ale.uml_rec	1e-06	0.649378	0.816408
fix_137_c60_lg_combined.ale.uml_rec	0.0485827	0.080993	0.14754
fix_3199_c60_lg_combined.ale.uml_rec	0.359452	1e-06	0.00105478
fix_413_c60_lg_combined.ale.uml_rec	0.045697	0.0626794	0.237712
fix_2760_c60_lg_combined.ale.uml_rec	0.375957	1e-06	1e-06
fix_5128_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_5016_c60_lg_combined.ale.uml_rec	0.848515	0.285614	0.786803
fix_4873_c60_lg_combined.ale.uml_rec	2.51197e-05	5.50017e-06	0.249161
fix_715_c60_lg_combined.ale.uml_rec	1e-06	0.225709	0.260606
fix_989_c60_lg_combined.ale.uml_rec	0.00145931	0.210871	0.494948
fix_2466_c60_lg_combined.ale.uml_rec	1e-06	0.501634	0.725602
fix_5310_c60_lg_combined.ale.uml_rec	0.29049	1e-06	0.829701
fix_2558_c60_lg_combined.ale.uml_rec	0.320045	0.488217	0.69671
fix_170_c60_lg_combined.ale.uml_rec	0.0342836	0.0598709	0.164335
fix_2203_c60_lg_combined.ale.uml_rec	0.297876	0.352022	0.653298
fix_276_c60_lg_combined.ale.uml_rec	0.11248	0.206714	0.415689
